YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	1	0.983	0.00	100.36	-3.01	283.13	24.44
1998	2	0.983	0.00	101.38	-3.12	269.96	25.46
1998	3	0.983	0.00	102.39	-3.24	256.78	26.47
1998	4	0.983	0.00	103.41	-3.35	243.61	27.49
1998	5	0.983	0.00	104.43	-3.47	230.44	28.50
1998	6	0.983	0.00	105.45	-3.58	217.26	29.51
1998	7	0.983	0.00	106.47	-3.69	204.09	30.53
1998	8	0.983	0.00	107.49	-3.80	190.92	31.55
1998	9	0.983	0.00	108.51	-3.91	177.81	32.56
1998	10	0.983	0.00	109.53	-4.02	164.64	33.58
1998	11	0.983	0.00	110.55	-4.12	151.47	34.59
1998	12	0.983	0.00	111.57	-4.23	138.30	35.61
1998	13	0.984	0.00	112.59	-4.33	125.12	36.62
1998	14	0.984	0.00	113.60	-4.44	111.95	37.64
1998	15	0.984	0.00	114.62	-4.54	98.78	38.66
1998	16	0.984	0.00	115.64	-4.64	85.61	39.68
1998	17	0.984	0.00	116.66	-4.73	72.44	40.69
1998	18	0.984	0.00	117.68	-4.83	59.27	41.71
1998	19	0.984	0.00	118.70	-4.93	46.10	42.73
1998	20	0.984	0.00	119.71	-5.02	32.93	43.74
1998	21	0.984	0.00	120.73	-5.11	19.76	44.76
1998	22	0.984	0.00	121.75	-5.20	6.59	45.78
1998	23	0.984	0.00	122.77	-5.29	353.42	46.80
1998	24	0.984	0.00	123.78	-5.38	340.25	47.81
1998	25	0.984	0.00	124.80	-5.46	327.08	48.83
1998	26	0.985	0.00	125.82	-5.55	313.91	49.85
1998	27	0.985	0.00	126.83	-5.63	300.74	50.87
1998	28	0.985	0.00	127.85	-5.71	287.57	51.89
1998	29	0.985	0.00	128.87	-5.78	274.47	52.90
1998	30	0.985	0.00	129.88	-5.86	261.30	53.92
1998	31	0.985	0.00	130.90	-5.94	248.13	54.94
1998	32	0.985	0.00	131.91	-6.01	234.96	55.96
1998	33	0.985	0.00	132.93	-6.08	221.79	56.98
1998	34	0.986	0.00	133.94	-6.15	208.62	58.00
1998	35	0.986	0.00	134.96	-6.21	195.45	59.01
1998	36	0.986	0.00	135.97	-6.28	182.28	60.03
1998	37	0.986	0.00	136.99	-6.34	169.11	61.05
1998	38	0.986	0.00	138.00	-6.40	155.94	62.07
1998	39	0.986	0.00	139.01	-6.46	142.77	63.08
1998	40	0.987	0.00	140.02	-6.52	129.60	64.10
1998	41	0.987	0.00	141.04	-6.57	116.43	65.12
1998	42	0.987	0.00	142.05	-6.63	103.26	66.14
1998	43	0.987	0.00	143.06	-6.68	90.09	67.15
1998	44	0.987	0.00	144.07	-6.72	76.92	68.17
1998	45	0.988	0.00	145.08	-6.77	63.75	69.19
1998	46	0.988	0.00	146.09	-6.81	50.58	70.20
1998	47	0.988	0.00	147.10	-6.86	37.41	71.22
1998	48	0.988	0.00	148.11	-6.90	24.24	72.24
1998	49	0.988	0.00	149.12	-6.93	11.13	73.25
1998	50	0.989	0.00	150.13	-6.97	357.96	74.27
1998	51	0.989	0.00	151.14	-7.00	344.78	75.28
1998	52	0.989	0.00	152.15	-7.03	331.61	76.30
1998	53	0.989	0.00	153.15	-7.06	318.44	77.31
1998	54	0.989	0.00	154.16	-7.09	305.27	78.33
1998	55	0.990	0.00	155.17	-7.11	292.09	79.34
1998	56	0.990	0.00	156.17	-7.14	278.92	80.36
1998	57	0.990	0.00	157.18	-7.16	265.74	81.37
1998	58	0.990	0.00	158.18	-7.18	252.57	82.38
1998	59	0.991	0.00	159.19	-7.19	239.39	83.39
1998	60	0.991	0.00	160.19	-7.20	226.22	84.41
1998	61	0.991	0.00	161.20	-7.22	213.04	85.42
1998	62	0.991	0.00	162.20	-7.22	199.87	86.43
1998	63	0.992	0.00	163.20	-7.23	186.69	87.44
1998	64	0.992	0.00	164.20	-7.24	173.51	88.45
1998	65	0.992	0.00	165.21	-7.24	160.33	89.46
1998	66	0.992	0.00	166.21	-7.24	147.16	90.47
1998	67	0.993	0.00	167.21	-7.24	133.98	91.48
1998	68	0.993	0.00	168.21	-7.23	120.80	92.49
1998	69	0.993	0.00	169.21	-7.23	107.68	93.49
1998	70	0.993	0.00	170.21	-7.22	94.50	94.50
1998	71	0.994	0.00	171.21	-7.21	81.32	95.51
1998	72	0.994	0.00	172.20	-7.19	68.14	96.51
1998	73	0.994	0.00	173.20	-7.18	54.95	97.52
1998	74	0.994	0.00	174.20	-7.16	41.77	98.52
1998	75	0.995	0.00	175.19	-7.14	28.59	99.53
1998	76	0.995	0.00	176.19	-7.12	15.40	100.53
1998	77	0.995	0.00	177.19	-7.09	2.22	101.53
1998	78	0.996	0.00	178.18	-7.07	349.03	102.53
1998	79	0.996	0.00	179.17	-7.04	335.85	103.54
1998	80	0.996	-0.00	180.17	-7.01	322.66	104.54
1998	81	0.996	-0.00	181.16	-6.98	309.47	105.54
1998	82	0.997	-0.00	182.15	-6.94	296.28	106.53
1998	83	0.997	-0.00	183.15	-6.91	283.10	107.53
1998	84	0.997	-0.00	184.14	-6.87	269.91	108.53
1998	85	0.997	-0.00	185.13	-6.83	256.72	109.53
1998	86	0.998	-0.00	186.12	-6.78	243.52	110.52
1998	87	0.998	-0.00	187.11	-6.74	230.33	111.52
1998	88	0.998	-0.00	188.10	-6.69	217.14	112.51
1998	89	0.999	-0.00	189.08	-6.64	203.95	113.51
1998	90	0.999	-0.00	190.07	-6.59	190.81	114.50
1998	91	0.999	-0.00	191.06	-6.54	177.62	115.49
1998	92	0.999	-0.00	192.05	-6.49	164.42	116.49
1998	93	1.000	-0.00	193.03	-6.43	151.23	117.48
1998	94	1.000	-0.00	194.02	-6.37	138.03	118.47
1998	95	1.000	-0.00	195.00	-6.31	124.83	119.46
1998	96	1.001	-0.00	195.99	-6.25	111.63	120.45
1998	97	1.001	-0.00	196.97	-6.19	98.43	121.43
1998	98	1.001	-0.00	197.96	-6.12	85.23	122.42
