YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	1	1.382	-1.81	331.95	5.22	154.85	256.16
1998	2	1.382	-1.80	332.59	5.25	141.30	256.80
1998	3	1.381	-1.80	333.22	5.27	127.75	257.44
1998	4	1.381	-1.79	333.86	5.29	114.20	258.07
1998	5	1.381	-1.79	334.49	5.31	100.65	258.71
1998	6	1.381	-1.78	335.13	5.33	87.10	259.35
1998	7	1.381	-1.78	335.76	5.35	73.55	259.98
1998	8	1.381	-1.77	336.40	5.37	60.00	260.62
1998	9	1.381	-1.77	337.03	5.39	46.51	261.26
1998	10	1.381	-1.76	337.67	5.41	32.96	261.90
1998	11	1.381	-1.75	338.30	5.43	19.41	262.53
1998	12	1.381	-1.75	338.94	5.44	5.86	263.17
1998	13	1.382	-1.74	339.57	5.46	352.31	263.81
1998	14	1.382	-1.73	340.21	5.47	338.76	264.44
1998	15	1.382	-1.72	340.84	5.49	325.21	265.08
1998	16	1.382	-1.72	341.48	5.50	311.66	265.72
1998	17	1.382	-1.71	342.11	5.51	298.11	266.36
1998	18	1.382	-1.70	342.75	5.53	284.55	266.99
1998	19	1.382	-1.69	343.38	5.54	271.00	267.63
1998	20	1.382	-1.68	344.01	5.55	257.45	268.27
1998	21	1.383	-1.68	344.65	5.56	243.90	268.90
1998	22	1.383	-1.67	345.28	5.57	230.35	269.54
1998	23	1.383	-1.66	345.91	5.58	216.80	270.17
1998	24	1.383	-1.65	346.55	5.59	203.25	270.81
1998	25	1.384	-1.64	347.18	5.60	189.70	271.45
1998	26	1.384	-1.63	347.81	5.60	176.14	272.08
1998	27	1.384	-1.62	348.45	5.61	162.59	272.72
1998	28	1.384	-1.61	349.08	5.62	149.04	273.35
1998	29	1.385	-1.60	349.71	5.62	135.55	273.99
1998	30	1.385	-1.59	350.34	5.62	122.00	274.62
1998	31	1.385	-1.58	350.97	5.63	108.44	275.26
1998	32	1.386	-1.57	351.60	5.63	94.89	275.89
1998	33	1.386	-1.56	352.24	5.63	81.34	276.52
1998	34	1.386	-1.55	352.87	5.64	67.78	277.16
1998	35	1.387	-1.54	353.50	5.64	54.23	277.79
1998	36	1.387	-1.52	354.13	5.64	40.67	278.42
1998	37	1.388	-1.51	354.76	5.64	27.12	279.06
1998	38	1.388	-1.50	355.38	5.63	13.56	279.69
1998	39	1.388	-1.49	356.01	5.63	0.01	280.32
1998	40	1.389	-1.48	356.64	5.63	346.45	280.95
1998	41	1.389	-1.47	357.27	5.63	332.89	281.58
1998	42	1.390	-1.45	357.90	5.62	319.34	282.21
1998	43	1.390	-1.44	358.52	5.62	305.78	282.84
1998	44	1.391	-1.43	359.15	5.61	292.22	283.47
1998	45	1.391	-1.41	359.78	5.61	278.66	284.10
1998	46	1.392	-1.40	0.40	5.60	265.10	284.73
1998	47	1.392	-1.39	1.03	5.59	251.54	285.36
1998	48	1.393	-1.37	1.65	5.59	237.98	285.98
1998	49	1.394	-1.36	2.28	5.58	224.49	286.61
1998	50	1.394	-1.35	2.90	5.57	210.92	287.24
1998	51	1.395	-1.33	3.52	5.56	197.36	287.86
1998	52	1.395	-1.32	4.14	5.55	183.80	288.49
1998	53	1.396	-1.31	4.77	5.54	170.24	289.11
1998	54	1.397	-1.29	5.39	5.53	156.67	289.74
1998	55	1.397	-1.28	6.01	5.51	143.11	290.36
1998	56	1.398	-1.26	6.63	5.50	129.55	290.98
1998	57	1.399	-1.25	7.25	5.49	115.98	291.61
1998	58	1.399	-1.23	7.87	5.47	102.41	292.23
1998	59	1.400	-1.22	8.49	5.46	88.85	292.85
1998	60	1.401	-1.20	9.10	5.44	75.28	293.47
1998	61	1.401	-1.19	9.72	5.43	61.71	294.09
1998	62	1.402	-1.17	10.34	5.41	48.15	294.71
1998	63	1.403	-1.16	10.95	5.39	34.58	295.33
1998	64	1.404	-1.14	11.57	5.37	21.01	295.94
1998	65	1.404	-1.13	12.18	5.35	7.44	296.56
1998	66	1.405	-1.11	12.80	5.34	353.86	297.18
1998	67	1.406	-1.09	13.41	5.32	340.29	297.79
