YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	1	19.826	-0.63	308.55	5.14	131.32	232.64
1998	2	19.826	-0.63	308.56	5.14	117.15	232.65
1998	3	19.826	-0.63	308.57	5.14	102.97	232.66
1998	4	19.827	-0.63	308.58	5.14	88.79	232.67
1998	5	19.827	-0.63	308.59	5.14	74.62	232.68
1998	6	19.827	-0.63	308.61	5.14	60.44	232.69
1998	7	19.827	-0.63	308.62	5.14	46.26	232.70
1998	8	19.827	-0.63	308.63	5.14	32.09	232.71
1998	9	19.827	-0.63	308.64	5.14	17.97	232.72
1998	10	19.827	-0.63	308.65	5.14	3.80	232.74
1998	11	19.827	-0.63	308.66	5.14	349.62	232.75
1998	12	19.828	-0.63	308.67	5.14	335.44	232.76
1998	13	19.828	-0.63	308.68	5.14	321.27	232.77
1998	14	19.828	-0.63	308.69	5.15	307.09	232.78
1998	15	19.828	-0.63	308.70	5.15	292.92	232.79
1998	16	19.828	-0.63	308.72	5.15	278.74	232.80
1998	17	19.828	-0.63	308.73	5.15	264.56	232.81
1998	18	19.828	-0.63	308.74	5.15	250.39	232.82
1998	19	19.828	-0.63	308.75	5.15	236.21	232.83
1998	20	19.829	-0.63	308.76	5.15	222.03	232.85
1998	21	19.829	-0.63	308.77	5.15	207.86	232.86
1998	22	19.829	-0.63	308.78	5.15	193.68	232.87
1998	23	19.829	-0.63	308.79	5.15	179.50	232.88
1998	24	19.829	-0.63	308.80	5.15	165.33	232.89
1998	25	19.829	-0.63	308.81	5.15	151.15	232.90
1998	26	19.829	-0.63	308.83	5.15	136.97	232.91
1998	27	19.829	-0.63	308.84	5.16	122.80	232.92
1998	28	19.829	-0.63	308.85	5.16	108.62	232.93
1998	29	19.830	-0.63	308.86	5.16	94.51	232.94
1998	30	19.830	-0.63	308.87	5.16	80.33	232.96
1998	31	19.830	-0.63	308.88	5.16	66.15	232.97
1998	32	19.830	-0.63	308.89	5.16	51.98	232.98
1998	33	19.830	-0.63	308.90	5.16	37.80	232.99
1998	34	19.830	-0.63	308.91	5.16	23.62	233.00
1998	35	19.830	-0.63	308.93	5.16	9.45	233.01
1998	36	19.830	-0.63	308.94	5.16	355.27	233.02
1998	37	19.831	-0.63	308.95	5.16	341.10	233.03
1998	38	19.831	-0.63	308.96	5.16	326.92	233.04
1998	39	19.831	-0.63	308.97	5.16	312.74	233.05
1998	40	19.831	-0.63	308.98	5.16	298.57	233.07
1998	41	19.831	-0.63	308.99	5.17	284.39	233.08
1998	42	19.831	-0.63	309.00	5.17	270.21	233.09
1998	43	19.831	-0.63	309.01	5.17	256.04	233.10
1998	44	19.831	-0.63	309.02	5.17	241.86	233.11
1998	45	19.832	-0.63	309.04	5.17	227.68	233.12
1998	46	19.832	-0.63	309.05	5.17	213.51	233.13
1998	47	19.832	-0.63	309.06	5.17	199.33	233.14
1998	48	19.832	-0.63	309.07	5.17	185.15	233.15
1998	49	19.832	-0.63	309.08	5.17	171.04	233.16
1998	50	19.832	-0.63	309.09	5.17	156.86	233.18
1998	51	19.832	-0.63	309.10	5.17	142.69	233.19
1998	52	19.832	-0.63	309.11	5.17	128.51	233.20
1998	53	19.832	-0.63	309.12	5.17	114.33	233.21
1998	54	19.833	-0.63	309.13	5.18	100.16	233.22
1998	55	19.833	-0.63	309.15	5.18	85.98	233.23
1998	56	19.833	-0.63	309.16	5.18	71.80	233.24
1998	57	19.833	-0.63	309.17	5.18	57.63	233.25
1998	58	19.833	-0.63	309.18	5.18	43.45	233.26
1998	59	19.833	-0.63	309.19	5.18	29.27	233.27
1998	60	19.833	-0.63	309.20	5.18	15.10	233.29
