RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
earth	(0.16377520, -0.00010802, -0.96951120)	0.1637752	-0.0001080174	-0.9695112	(-0.5, 0.0, -0.1)	0.9832459	0.9832437	0.9832459	-0.0001098787	-1.383879	-0.0001098642	-1.400189	-0.0001098642	-1.400189	-1.383879	0	0.02	0	0	-1.400189	0
earth	(0.14477160, -0.00010796, -0.97253980)	0.1447716	-0.0001079567	-0.9725398	(-0.5, 0.0, -0.1)	0.9832541	0.9832437	0.9832541	-0.0001098787	-1.383879	-0.0001098085	-1.41976	-0.0001098085	-1.41976	-1.383879	0	0.02	0	0	-1.41976	0
earth	(0.12889340, -0.00010788, -0.97478380)	0.1288934	-0.0001078752	-0.9747838	(-0.5, 0.0, -0.1)	0.9832657	0.9832437	0.9832657	-0.0001098787	-1.383879	-0.00010973	-1.436069	-0.00010973	-1.436069	-1.383879	0	0.02	0	0	-1.436069	0
earth	(0.10979530, -0.00010774, -0.97713990)	0.1097953	-0.0001077401	-0.9771399	(-0.5, 0.0, -0.1)	0.9832854	0.9832437	0.9832854	-0.0001098787	-1.383879	-0.0001095973	-1.45564	-0.0001095973	-1.45564	-1.383879	0	0.02	0	0	-1.45564	0
earth	(0.09384830, -0.00010760, -0.97882250)	0.0938483	-0.0001075967	-0.9788225	(-0.5, 0.0, -0.1)	0.9833065	0.9832437	0.9833065	-0.0001098787	-1.383879	-0.0001094548	-1.471948	-0.0001094548	-1.471948	-1.383879	0	0.02	0	0	-1.471948	0
earth	(0.07467991, -0.00010739, -0.98050330)	0.07467991	-0.0001073874	-0.9805033	(-0.5, 0.0, -0.1)	0.9833375	0.9832437	0.9833375	-0.0001098787	-1.383879	-0.0001092454	-1.491517	-0.0001092454	-1.491517	-1.383879	0	0.02	0	0	-1.491517	0
earth	(0.05868446, -0.00010718, -0.98162190)	0.05868446	-0.0001071822	-0.9816219	(-0.5, 0.0, -0.1)	0.9833679	0.9832437	0.9833679	-0.0001098787	-1.383879	-0.000109039	-1.507823	-0.000109039	-1.507823	-1.383879	0	0.02	0	0	-1.507823	0
earth	(0.03947002, -0.00010690, -0.98262550)	0.03947002	-0.000106899	-0.9826255	(-0.5, 0.0, -0.1)	0.9834102	0.9832437	0.9834102	-0.0001098787	-1.383879	-0.0001087532	-1.527389	-0.0001087532	-1.527389	-1.383879	0	0.02	0	0	-1.527389	0
earth	(0.02344633, -0.00010663, -0.98317900)	0.02344633	-0.0001066322	-0.983179	(-0.5, 0.0, -0.1)	0.9834501	0.9832437	0.9834501	-0.0001098787	-1.383879	-0.0001084832	-1.543693	-0.0001084832	-1.543693	-1.383879	0	0.02	0	0	-1.543693	0
earth	(0.00421019, -0.00010628, -0.98350410)	0.004210185	-0.0001062752	-0.9835041	(-0.5, 0.0, -0.1)	0.9835036	0.9832437	0.9835036	-0.0001098787	-1.383879	-0.0001081211	-1.563255	-0.0001081211	-1.563255	-1.383879	0	0.02	0	0	-1.563255	0
earth	(-0.01182146, -0.00010595, -0.98349210)	-0.01182146	-0.0001059472	-0.9834921	(-0.5, 0.0, -0.1)	0.9835529	0.9832437	0.9835529	-0.0001098787	-1.383879	-0.0001077879	-1.579556	-0.0001077879	-1.579556	-1.383879	0	0.02	0	0	-1.579556	0
earth	(-0.02785000, -0.00010559, -0.98322310)	-0.02785	-0.0001055916	-0.9832231	(-0.5, 0.0, -0.1)	0.9836063	0.9832437	0.9836063	-0.0001098787	-1.383879	-0.000107426	-1.595854	-0.000107426	-1.595854	-1.383879	0	0.02	0	0	-1.595854	0
earth	(-0.04707429, -0.00010513, -0.98256120)	-0.04707429	-0.0001051283	-0.9825612	(-0.5, 0.0, -0.1)	0.9836761	0.9832437	0.9836761	-0.0001098787	-1.383879	-0.0001069542	-1.61541	-0.0001069542	-1.61541	-1.383879	0	0.02	0	0	-1.61541	0
earth	(-0.06308131, -0.00010471, -0.98172730)	-0.06308131	-0.000104712	-0.9817273	(-0.5, 0.0, -0.1)	0.9837387	0.9832437	0.9837387	-0.0001098787	-1.383879	-0.0001065298	-1.631705	-0.0001065298	-1.631705	-1.383879	0	0.02	0	0	-1.631705	0
earth	(-0.08226760, -0.00010418, -0.98038790)	-0.0822676	-0.0001041763	-0.9803879	(-0.5, 0.0, -0.1)	0.9838195	0.9832437	0.9838195	-0.0001098787	-1.383879	-0.0001059832	-1.651255	-0.0001059832	-1.651255	-1.383879	0	0.02	0	0	-1.651255	0
earth	(-0.09823285, -0.00010370, -0.97899020)	-0.09823285	-0.0001037	-0.9789902	(-0.5, 0.0, -0.1)	0.9838913	0.9832437	0.9838913	-0.0001098787	-1.383879	-0.0001054968	-1.667545	-0.0001054968	-1.667545	-1.383879	0	0.02	0	0	-1.667545	0
earth	(-0.11735690, -0.00010309, -0.97697540)	-0.1173569	-0.0001030926	-0.9769754	(-0.5, 0.0, -0.1)	0.983983	0.9832437	0.983983	-0.0001098787	-1.383879	-0.0001048763	-1.687089	-0.0001048763	-1.687089	-1.383879	0	0.02	0	0	-1.687089	0
earth	(-0.13326030, -0.00010256, -0.97501600)	-0.1332603	-0.0001025567	-0.975016	(-0.5, 0.0, -0.1)	0.984064	0.9832437	0.984064	-0.0001098787	-1.383879	-0.0001043286	-1.703373	-0.0001043286	-1.703373	-1.383879	0	0.02	0	0	-1.703373	0
earth	(-0.15229800, -0.00010188, -0.97232900)	-0.152298	-0.0001018784	-0.972329	(-0.5, 0.0, -0.1)	0.9841664	0.9832437	0.9841664	-0.0001098787	-1.383879	-0.0001036351	-1.72291	-0.0001036351	-1.72291	-1.383879	0	0.02	0	0	-1.72291	0
earth	(-0.16811940, -0.00010128, -0.96981060)	-0.1681194	-0.0001012839	-0.9698106	(-0.5, 0.0, -0.1)	0.9842563	0.9832437	0.9842563	-0.0001098787	-1.383879	-0.0001030269	-1.739188	-0.0001030269	-1.739188	-1.383879	0	0.02	0	0	-1.739188	0
earth	(-0.18704680, -0.00010054, -0.96645480)	-0.1870468	-0.0001005355	-0.9664548	(-0.5, 0.0, -0.1)	0.9843695	0.9832437	0.9843695	-0.0001098787	-1.383879	-0.0001022613	-1.758717	-0.0001022613	-1.758717	-1.383879	0	0.02	0	0	-1.758717	0
earth	(-0.20276630, -0.00009988, -0.96338110)	-0.2027663	-9.988299E-05	-0.9633811	(-0.5, 0.0, -0.1)	0.9844682	0.9832437	0.9844682	-0.0001098787	-1.383879	-0.0001015935	-1.774988	-0.0001015935	-1.774988	-1.383879	0	0.02	0	0	-1.774988	0
earth	(-0.21843300, -0.00009920, -0.96005630)	-0.218433	-9.920441E-05	-0.9600563	(-0.5, 0.0, -0.1)	0.9845709	0.9832437	0.9845709	-0.0001098787	-1.383879	-0.000100899	-1.791256	-0.000100899	-1.791256	-1.383879	0	0.02	0	0	-1.791256	0
earth	(-0.23715750, -0.00009836, -0.95573650)	-0.2371575	-9.835596E-05	-0.9557365	(-0.5, 0.0, -0.1)	0.9846994	0.9832437	0.9846994	-0.0001098787	-1.383879	-0.0001000305	-1.810772	-0.0001000305	-1.810772	-1.383879	0	0.02	0	0	-1.810772	0
earth	(-0.25269360, -0.00009762, -0.95186260)	-0.2526936	-9.762069E-05	-0.9518626	(-0.5, 0.0, -0.1)	0.9848107	0.9832437	0.9848107	-0.0001098787	-1.383879	-9.927775E-05	-1.827032	-9.927775E-05	-1.827032	-1.383879	0	0.02	0	0	-1.827032	0
earth	(-0.27124970, -0.00009670, -0.94688710)	-0.2712497	-9.670478E-05	-0.9468871	(-0.5, 0.0, -0.1)	0.9849493	0.9832437	0.9849493	-0.0001098787	-1.383879	-9.834005E-05	-1.846539	-9.834005E-05	-1.846539	-1.383879	0	0.02	0	0	-1.846539	0
earth	(-0.28663580, -0.00009591, -0.94246970)	-0.2866358	-9.59138E-05	-0.9424697	(-0.5, 0.0, -0.1)	0.985069	0.9832437	0.985069	-0.0001098787	-1.383879	-9.753021E-05	-1.86279	-9.753021E-05	-1.86279	-1.383879	0	0.02	0	0	-1.86279	0
earth	(-0.30500030, -0.00009493, -0.93684520)	-0.3050003	-9.493165E-05	-0.9368452	(-0.5, 0.0, -0.1)	0.9852178	0.9832437	0.9852178	-0.0001098787	-1.383879	-9.652466E-05	-1.882287	-9.652466E-05	-1.882287	-1.383879	0	0.02	0	0	-1.882287	0
