RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
jupiter	(-3.40132800, 0.06079310, 3.76530600)	-3.401328	0.0607931	3.765306	(0.2, 0.0, 0.1)	5.074471	5.074471	5.074471	0.01199983	2.306853	0.01198433	2.30573	0.0119959	2.306568	2.306853	0	0.02	0	0	2.30573	0
jupiter	(-3.39501100, 0.06067551, 3.77100500)	-3.395011	0.06067551	3.771005	(0.2, 0.0, 0.1)	5.074471	5.074471	5.074471	0.01199983	2.306853	0.01196116	2.304053	0.01196116	2.304053	2.306853	0	0.02	0	0	2.304053	0
jupiter	(-3.38974000, 0.06057739, 3.77574600)	-3.38974	0.06057739	3.775746	(0.2, 0.0, 0.1)	5.074472	5.074471	5.074471	0.01199983	2.306853	0.01194183	2.302656	0.01195729	2.303773	2.306853	0	0.02	0	0	2.302656	0
jupiter	(-3.38340600, 0.06045950, 3.78142600)	-3.383406	0.0604595	3.781426	(0.2, 0.0, 0.1)	5.074473	5.074471	5.074473	0.01199983	2.306853	0.0119186	2.300979	0.01192247	2.301259	2.306853	0	0.02	0	0	2.300979	0
jupiter	(-3.37812200, 0.06036113, 3.78615200)	-3.378122	0.06036113	3.786152	(0.2, 0.0, 0.1)	5.074474	5.074471	5.074474	0.01199983	2.306853	0.01189921	2.299582	0.01189921	2.299582	2.306853	0	0.02	0	0	2.299582	0
jupiter	(-3.37177100, 0.06024294, 3.79181200)	-3.371771	0.06024294	3.791812	(0.2, 0.0, 0.1)	5.074476	5.074471	5.074476	0.01199983	2.306853	0.01187592	2.297905	0.01187592	2.297905	2.306853	0	0.02	0	0	2.297905	0
jupiter	(-3.36647100, 0.06014431, 3.79652200)	-3.366471	0.06014431	3.796522	(0.2, 0.0, 0.1)	5.074478	5.074471	5.074478	0.01199983	2.306853	0.01185648	2.296508	0.01186037	2.296788	2.306853	0	0.02	0	0	2.296508	0
jupiter	(-3.36010400, 0.06002581, 3.80216400)	-3.360104	0.06002581	3.802164	(0.2, 0.0, 0.1)	5.07448	5.074471	5.07448	0.01199983	2.306853	0.01183313	2.294832	0.01183313	2.294832	2.306853	0	0.02	0	0	2.294832	0
jupiter	(-3.35479100, 0.05992693, 3.80685700)	-3.354791	0.05992693	3.806857	(0.2, 0.0, 0.1)	5.074482	5.074471	5.074482	0.01199983	2.306853	0.01181364	2.293434	0.01181364	2.293434	2.306853	0	0.02	0	0	2.293434	0
jupiter	(-3.34840600, 0.05980814, 3.81248000)	-3.348406	0.05980814	3.81248	(0.2, 0.0, 0.1)	5.074485	5.074471	5.074485	0.01199983	2.306853	0.01179023	2.291758	0.01179023	2.291758	2.306853	0	0.02	0	0	2.291758	0
jupiter	(-3.34307900, 0.05970901, 3.81715800)	-3.343079	0.05970901	3.817158	(0.2, 0.0, 0.1)	5.074488	5.074471	5.074488	0.01199983	2.306853	0.01177069	2.29036	0.0117746	2.29064	2.306853	0	0.02	0	0	2.29036	0
jupiter	(-3.33774500, 0.05960977, 3.82182800)	-3.337745	0.05960977	3.821828	(0.2, 0.0, 0.1)	5.074491	5.074471	5.074491	0.01199983	2.306853	0.01175113	2.288963	0.01175113	2.288963	2.306853	0	0.02	0	0	2.288963	0
jupiter	(-3.33133600, 0.05949053, 3.82742300)	-3.331336	0.05949053	3.827423	(0.2, 0.0, 0.1)	5.074495	5.074471	5.074495	0.01199983	2.306853	0.01172763	2.287287	0.01172763	2.287287	2.306853	0	0.02	0	0	2.287287	0
jupiter	(-3.32598900, 0.05939103, 3.83207700)	-3.325989	0.05939103	3.832077	(0.2, 0.0, 0.1)	5.074499	5.074471	5.074499	0.01199983	2.306853	0.01170801	2.28589	0.01170801	2.28589	2.306853	0	0.02	0	0	2.28589	0
jupiter	(-3.31956300, 0.05927150, 3.83765200)	-3.319563	0.0592715	3.837652	(0.2, 0.0, 0.1)	5.074503	5.074471	5.074503	0.01199983	2.306853	0.01168445	2.284213	0.01168445	2.284213	2.306853	0	0.02	0	0	2.284213	0
jupiter	(-3.31420200, 0.05917177, 3.84229000)	-3.314202	0.05917177	3.84229	(0.2, 0.0, 0.1)	5.074507	5.074471	5.074507	0.01199983	2.306853	0.01166479	2.282816	0.01166479	2.282816	2.306853	0	0.02	0	0	2.282816	0
jupiter	(-3.30775900, 0.05905193, 3.84784700)	-3.307759	0.05905193	3.847847	(0.2, 0.0, 0.1)	5.074512	5.074471	5.074512	0.01199983	2.306853	0.01164117	2.281139	0.01164117	2.281139	2.306853	0	0.02	0	0	2.281139	0
jupiter	(-3.30238300, 0.05895195, 3.85246900)	-3.302383	0.05895195	3.852469	(0.2, 0.0, 0.1)	5.074517	5.074471	5.074517	0.01199983	2.306853	0.01162146	2.279742	0.01162146	2.279742	2.306853	0	0.02	0	0	2.279742	0
jupiter	(-3.29592500, 0.05883182, 3.85800600)	-3.295925	0.05883182	3.858006	(0.2, 0.0, 0.1)	5.074522	5.074471	5.074522	0.01199983	2.306853	0.01159777	2.278065	0.01159777	2.278065	2.306853	0	0.02	0	0	2.278065	0
jupiter	(-3.29053500, 0.05873159, 3.86261200)	-3.290535	0.05873159	3.862612	(0.2, 0.0, 0.1)	5.074528	5.074471	5.074528	0.01199983	2.306853	0.01157802	2.276668	0.01157802	2.276668	2.306853	0	0.02	0	0	2.276668	0
jupiter	(-3.28406000, 0.05861115, 3.86812900)	-3.28406	0.05861115	3.868129	(0.2, 0.0, 0.1)	5.074534	5.074471	5.074534	0.01199983	2.306853	0.01155427	2.274992	0.01155427	2.274992	2.306853	0	0.02	0	0	2.274992	0
jupiter	(-3.27865700, 0.05851068, 3.87271900)	-3.278657	0.05851068	3.872719	(0.2, 0.0, 0.1)	5.07454	5.074471	5.07454	0.01199983	2.306853	0.01153446	2.273594	0.01153446	2.273594	2.306853	0	0.02	0	0	2.273594	0
jupiter	(-3.27324700, 0.05841008, 3.87730100)	-3.273247	0.05841008	3.877301	(0.2, 0.0, 0.1)	5.074545	5.074471	5.074545	0.01199983	2.306853	0.01151463	2.272197	0.01151463	2.272197	2.306853	0	0.02	0	0	2.272197	0
jupiter	(-3.26674800, 0.05828923, 3.88279100)	-3.266748	0.05828923	3.882791	(0.2, 0.0, 0.1)	5.074553	5.074471	5.074553	0.01199983	2.306853	0.0114908	2.270521	0.0114908	2.270521	2.306853	0	0.02	0	0	2.270521	0
jupiter	(-3.26132500, 0.05818840, 3.88735700)	-3.261325	0.0581884	3.887357	(0.2, 0.0, 0.1)	5.07456	5.074471	5.07456	0.01199983	2.306853	0.01147092	2.269124	0.01147092	2.269124	2.306853	0	0.02	0	0	2.269124	0
jupiter	(-3.25480900, 0.05806725, 3.89282700)	-3.254809	0.05806725	3.892827	(0.2, 0.0, 0.1)	5.074567	5.074471	5.074567	0.01199983	2.306853	0.01144703	2.267447	0.01144703	2.267447	2.306853	0	0.02	0	0	2.267447	0
jupiter	(-3.24937200, 0.05796618, 3.89737700)	-3.249372	0.05796618	3.897377	(0.2, 0.0, 0.1)	5.074574	5.074471	5.074574	0.01199983	2.306853	0.0114271	2.26605	0.0114271	2.26605	2.306853	0	0.02	0	0	2.26605	0
jupiter	(-3.24284000, 0.05784473, 3.90282600)	-3.24284	0.05784473	3.902826	(0.2, 0.0, 0.1)	5.074583	5.074471	5.074583	0.01199983	2.306853	0.01140315	2.264374	0.01140315	2.264374	2.306853	0	0.02	0	0	2.264374	0
jupiter	(-3.23739000, 0.05774341, 3.90735900)	-3.23739	0.05774341	3.907359	(0.2, 0.0, 0.1)	5.074591	5.074471	5.074591	0.01199983	2.306853	0.01138317	2.262976	0.01138317	2.262976	2.306853	0	0.02	0	0	2.262976	0
