RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
mars	(1.38791200, -0.05294416, -0.91609480)	1.387912	-0.05294416	-0.9160948	(-0.2, 0.0, -0.3)	1.663837	1.663833	1.663833	-0.03208719	-0.5750071	-0.0318697	-0.5820091	-0.03208719	-0.5750071	-0.0318697	-0.5820091	0.02	0	0	-0.5820091	0
mars	(1.38016300, -0.05250551, -0.92772170)	1.380163	-0.05250551	-0.9277217	(-0.2, 0.0, -0.3)	1.663837	1.663817	1.663817	-0.03208719	-0.5750071	-0.03160664	-0.5904115	-0.03208719	-0.5750071	-0.03160664	-0.5904115	0.02	0	0	-0.5904115	0
mars	(1.37362300, -0.05213685, -0.93735610)	1.373623	-0.05213685	-0.9373561	(-0.2, 0.0, -0.3)	1.663837	1.663794	1.663794	-0.03208719	-0.5750071	-0.03138572	-0.5974135	-0.03208719	-0.5750071	-0.03138572	-0.5974135	0.02	0	0	-0.5974135	0
mars	(1.36567700, -0.05169075, -0.94885010)	1.365677	-0.05169075	-0.9488501	(-0.2, 0.0, -0.3)	1.663837	1.663757	1.663757	-0.03208719	-0.5750071	-0.03111857	-0.6058162	-0.03208719	-0.5750071	-0.03111857	-0.6058162	0.02	0	0	-0.6058162	0
mars	(1.35897400, -0.05131593, -0.95837240)	1.358974	-0.05131593	-0.9583724	(-0.2, 0.0, -0.3)	1.663837	1.663716	1.663716	-0.03208719	-0.5750071	-0.03089426	-0.6128185	-0.03208719	-0.5750071	-0.03089426	-0.6128185	0.02	0	0	-0.6128185	0
mars	(1.35083400, -0.05086248, -0.96973060)	1.350834	-0.05086248	-0.9697306	(-0.2, 0.0, -0.3)	1.663837	1.663657	1.663657	-0.03208719	-0.5750071	-0.03062308	-0.6212218	-0.03208719	-0.5750071	-0.03062308	-0.6212218	0.02	0	0	-0.6212218	0
mars	(1.34397000, -0.05048159, -0.97913810)	1.34397	-0.05048159	-0.9791381	(-0.2, 0.0, -0.3)	1.663837	1.663598	1.663598	-0.03208719	-0.5750071	-0.03039543	-0.6282249	-0.03208719	-0.5750071	-0.03039543	-0.6282249	0.02	0	0	-0.6282249	0
mars	(1.33563800, -0.05002092, -0.99035750)	1.335638	-0.05002092	-0.9903575	(-0.2, 0.0, -0.3)	1.663837	1.663517	1.663517	-0.03208719	-0.5750071	-0.03012025	-0.6366292	-0.03208719	-0.5750071	-0.03012025	-0.6366292	0.02	0	0	-0.6366292	0
mars	(1.32861500, -0.04963405, -0.99964800)	1.328615	-0.04963405	-0.999648	(-0.2, 0.0, -0.3)	1.663837	1.66344	1.66344	-0.03208719	-0.5750071	-0.02988929	-0.6436334	-0.03208719	-0.5750071	-0.02988929	-0.6436334	0.02	0	0	-0.6436334	0
mars	(1.32009300, -0.04916627, -1.01072500)	1.320093	-0.04916627	-1.010725	(-0.2, 0.0, -0.3)	1.663837	1.663337	1.663337	-0.03208719	-0.5750071	-0.02961017	-0.6520392	-0.03208719	-0.5750071	-0.02961017	-0.6520392	0.02	0	0	-0.6520392	0
mars	(1.31291300, -0.04877353, -1.01989600)	1.312913	-0.04877353	-1.019896	(-0.2, 0.0, -0.3)	1.663837	1.663242	1.663242	-0.03208719	-0.5750071	-0.02937595	-0.6590446	-0.03208719	-0.5750071	-0.02937595	-0.6590446	0.02	0	0	-0.6590446	0
mars	(1.30566200, -0.04837816, -1.02901200)	1.305662	-0.04837816	-1.029012	(-0.2, 0.0, -0.3)	1.663837	1.663139	1.663139	-0.03208719	-0.5750071	-0.02914026	-0.6660509	-0.03208719	-0.5750071	-0.02914026	-0.6660509	0.02	0	0	-0.6660509	0
mars	(1.29686700, -0.04790026, -1.03987800)	1.296867	-0.04790026	-1.039878	(-0.2, 0.0, -0.3)	1.663837	1.663004	1.663004	-0.03208719	-0.5750071	-0.0288555	-0.6744595	-0.03208719	-0.5750071	-0.0288555	-0.6744595	0.02	0	0	-0.6744595	0
mars	(1.28946100, -0.04749916, -1.04887100)	1.289461	-0.04749916	-1.048871	(-0.2, 0.0, -0.3)	1.663837	1.662883	1.662883	-0.03208719	-0.5750071	-0.02861661	-0.6814677	-0.03208719	-0.5750071	-0.02861661	-0.6814677	0.02	0	0	-0.6814677	0
mars	(1.28048200, -0.04701445, -1.05958700)	1.280482	-0.04701445	-1.059587	(-0.2, 0.0, -0.3)	1.663837	1.662727	1.662727	-0.03208719	-0.5750071	-0.02832804	-0.6898786	-0.03208719	-0.5750071	-0.02832804	-0.6898786	0.02	0	0	-0.6898786	0
mars	(1.27292300, -0.04660772, -1.06845500)	1.272923	-0.04660772	-1.068455	(-0.2, 0.0, -0.3)	1.663837	1.662587	1.662587	-0.03208719	-0.5750071	-0.02808598	-0.696889	-0.03208719	-0.5750071	-0.02808598	-0.696889	0.02	0	0	-0.696889	0
mars	(1.26376100, -0.04611632, -1.07902000)	1.263761	-0.04611632	-1.07902	(-0.2, 0.0, -0.3)	1.663837	1.662409	1.662409	-0.03208719	-0.5750071	-0.02779365	-0.7053029	-0.03208719	-0.5750071	-0.02779365	-0.7053029	0.02	0	0	-0.7053029	0
mars	(1.25605100, -0.04570407, -1.08775900)	1.256051	-0.04570407	-1.087759	(-0.2, 0.0, -0.3)	1.663837	1.662252	1.662252	-0.03208719	-0.5750071	-0.02754848	-0.7123157	-0.03208719	-0.5750071	-0.02754848	-0.7123157	0.02	0	0	-0.7123157	0
mars	(1.24670900, -0.04520611, -1.09816900)	1.246709	-0.04520611	-1.098169	(-0.2, 0.0, -0.3)	1.663837	1.662052	1.662052	-0.03208719	-0.5750071	-0.02725243	-0.7207329	-0.03208719	-0.5750071	-0.02725243	-0.7207329	0.02	0	0	-0.7207329	0
mars	(1.23885000, -0.04478845, -1.10677800)	1.23885	-0.04478845	-1.106778	(-0.2, 0.0, -0.3)	1.663837	1.661877	1.661877	-0.03208719	-0.5750071	-0.02700419	-0.7277486	-0.03208719	-0.5750071	-0.02700419	-0.7277486	0.02	0	0	-0.7277486	0
mars	(1.22933100, -0.04428405, -1.11703000)	1.229331	-0.04428405	-1.11703	(-0.2, 0.0, -0.3)	1.663837	1.661655	1.661655	-0.03208719	-0.5750071	-0.02670448	-0.7361695	-0.03208719	-0.5750071	-0.02670448	-0.7361695	0.02	0	0	-0.7361695	0
mars	(1.22132400, -0.04386108, -1.12550700)	1.221324	-0.04386108	-1.125507	(-0.2, 0.0, -0.3)	1.663837	1.661462	1.661462	-0.03208719	-0.5750071	-0.0264532	-0.7431884	-0.03208719	-0.5750071	-0.0264532	-0.7431884	0.02	0	0	-0.7431884	0
mars	(1.21325200, -0.04343573, -1.13392300)	1.213252	-0.04343573	-1.133923	(-0.2, 0.0, -0.3)	1.663837	1.66126	1.66126	-0.03208719	-0.5750071	-0.02620057	-0.750209	-0.03208719	-0.5750071	-0.02620057	-0.750209	0.02	0	0	-0.750209	0
