RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
merkur	(-0.32847530, 0.01986258, -0.07123942)	-0.3284753	0.01986258	-0.07123942	(-0.3, 0.0, 0.8)	0.3366446	0.3365449	0.3366446	0.06361996	-2.841778	0.05997718	-2.910852	0.05997718	-2.910852	-2.841778	0	0.02	0	0	-2.910852	0
merkur	(-0.33472090, 0.01785905, -0.03722765)	-0.3347209	0.01785905	-0.03722765	(-0.3, 0.0, 0.8)	0.3371364	0.3365449	0.3371364	0.06361996	-2.841778	0.05402549	-3.013724	0.05402549	-3.013724	-2.841778	0	0.02	0	0	-3.013724	0
merkur	(-0.33754160, 0.01606125, -0.00860457)	-0.3375416	0.01606125	-0.008604568	(-0.3, 0.0, 0.8)	0.3378559	0.3365449	0.3378559	0.06361996	-2.841778	0.04864787	-3.099087	0.04864787	-3.099087	-2.841778	0	0.02	0	0	-3.099087	0
merkur	(-0.33806040, 0.01376852, 0.02580129)	-0.3380604	0.01376852	0.02580129	(-0.3, 0.0, 0.8)	0.3390814	0.3365449	0.3390814	0.06361996	-2.841778	0.04177213	3.082303	0.04177213	3.082303	-2.841778	0	0.02	0	0	3.082303	0
merkur	(-0.33612500, 0.01176049, 0.05430671)	-0.336125	0.01176049	0.05430671	(-0.3, 0.0, 0.8)	0.3403937	0.3365449	0.3403937	0.06361996	-2.841778	0.03575581	2.998154	0.03575581	2.998154	-2.841778	0	0.02	0	0	2.998154	0
merkur	(-0.33101750, 0.00925439, 0.08804882)	-0.3310175	0.009254387	0.08804882	(-0.3, 0.0, 0.8)	0.3423009	0.3365449	0.3423009	0.06361996	-2.841778	0.02827846	2.898166	0.02827846	2.898166	-2.841778	0	0.02	0	0	2.898166	0
merkur	(-0.32450630, 0.00710194, 0.11558200)	-0.3245063	0.007101942	0.115582	(-0.3, 0.0, 0.8)	0.3441517	0.3365449	0.3441517	0.06361996	-2.841778	0.02190006	2.815788	0.02190006	2.815788	-2.841778	0	0.02	0	0	2.815788	0
merkur	(-0.31409600, 0.00446314, 0.14768260)	-0.314096	0.004463142	0.1476826	(-0.3, 0.0, 0.8)	0.3466637	0.3365449	0.3466637	0.06361996	-2.841778	0.01415322	2.718203	0.01415322	2.718203	-2.841778	0	0.02	0	0	2.718203	0
merkur	(-0.30335940, 0.00223385, 0.17347880)	-0.3033594	0.002233848	0.1734788	(-0.3, 0.0, 0.8)	0.3489804	0.3365449	0.3489804	0.06361996	-2.841778	0.007682976	2.638026	0.007682976	2.638026	-2.841778	0	0.02	0	0	2.638026	0
merkur	(-0.28815110, -0.00045743, 0.20309040)	-0.2881511	-0.0004574349	0.2030904	(-0.3, 0.0, 0.8)	0.3520022	0.3365449	0.3520022	0.06361996	-2.841778	-2.427219E-05	2.543279	-2.427219E-05	2.543279	-2.841778	0	0.02	0	0	2.543279	0
merkur	(-0.27366960, -0.00269835, 0.22650790)	-0.2736696	-0.002698346	0.2265079	(-0.3, 0.0, 0.8)	0.3547004	0.3365449	0.3547004	0.06361996	-2.841778	-0.006346154	2.4656	-0.006346154	2.4656	-2.841778	0	0.02	0	0	2.4656	0
merkur	(-0.25766940, -0.00492437, 0.24866980)	-0.2576694	-0.004924366	0.2486698	(-0.3, 0.0, 0.8)	0.3575423	0.3365449	0.3575423	0.06361996	-2.841778	-0.0125329	2.389117	-0.0125329	2.389117	-2.841778	0	0.02	0	0	2.389117	0
merkur	(-0.23663780, -0.00755951, 0.27348050)	-0.2366378	-0.007559509	0.2734805	(-0.3, 0.0, 0.8)	0.3611159	0.3365449	0.3611159	0.06361996	-2.841778	-0.01972844	2.298951	-0.01972844	2.298951	-2.841778	0	0.02	0	0	2.298951	0
