RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
neptune	(20.91092000, -0.84350250, 8.40488800)	20.91092	-0.8435025	8.404888	(0.0, 0.0, -0.1)	22.55261	22.55261	22.55261	-0.03740481	0.3823733	-0.03740937	0.3822087	-0.03740754	0.3822745	0.3823733	0	0.02	0	0	0.3822087	0
neptune	(20.91257000, -0.84362570, 8.40075400)	20.91257	-0.8436257	8.400754	(0.0, 0.0, -0.1)	22.55261	22.55261	22.55261	-0.03740481	0.3823733	-0.03741482	0.382011	-0.03740754	0.3822745	0.3823733	0	0.02	0	0	0.382011	0
neptune	(20.91396000, -0.84372820, 8.39730800)	20.91396	-0.8437282	8.397308	(0.0, 0.0, -0.1)	22.55261	22.55261	22.55261	-0.03740481	0.3823733	-0.03741938	0.3818464	-0.03740754	0.3822745	0.3823733	0	0.02	0	0	0.3818464	0
neptune	(20.91561000, -0.84385130, 8.39317400)	20.91561	-0.8438513	8.393174	(0.0, 0.0, -0.1)	22.55261	22.55261	22.55261	-0.03740481	0.3823733	-0.03742484	0.3816487	-0.03740754	0.3822745	0.3823733	0	0.02	0	0	0.3816487	0
neptune	(20.91699000, -0.84395390, 8.38972900)	20.91699	-0.8439539	8.389729	(0.0, 0.0, -0.1)	22.55261	22.55261	22.55261	-0.03740481	0.3823733	-0.03742939	0.3814841	-0.03740754	0.3822745	0.3823733	0	0.02	0	0	0.3814841	0
neptune	(20.91865000, -0.84407700, 8.38559200)	20.91865	-0.844077	8.385592	(0.0, 0.0, -0.1)	22.55261	22.55261	22.55261	-0.03740481	0.3823733	-0.03743485	0.3812865	-0.03743121	0.3814182	0.3823733	0	0.02	0	0	0.3812865	0
neptune	(20.92002000, -0.84417950, 8.38214700)	20.92002	-0.8441795	8.382147	(0.0, 0.0, -0.1)	22.55261	22.55261	22.55261	-0.03740481	0.3823733	-0.0374394	0.3811218	-0.03743121	0.3814182	0.3823733	0	0.02	0	0	0.3811218	0
neptune	(20.92167000, -0.84430250, 8.37801200)	20.92167	-0.8443025	8.378012	(0.0, 0.0, -0.1)	22.55261	22.55261	22.55261	-0.03740481	0.3823733	-0.03744485	0.3809242	-0.0374403	0.3810888	0.3823733	0	0.02	0	0	0.3809242	0
neptune	(20.92305000, -0.84440490, 8.37456400)	20.92305	-0.8444049	8.374564	(0.0, 0.0, -0.1)	22.55262	22.55261	22.55262	-0.03740481	0.3823733	-0.0374494	0.3807595	-0.03744758	0.3808254	0.3823733	0	0.02	0	0	0.3807595	0
neptune	(20.92471000, -0.84452790, 8.37042900)	20.92471	-0.8445279	8.370429	(0.0, 0.0, -0.1)	22.55262	22.55261	22.55262	-0.03740481	0.3823733	-0.03745485	0.3805619	-0.03744758	0.3808254	0.3823733	0	0.02	0	0	0.3805619	0
neptune	(20.92608000, -0.84463040, 8.36698200)	20.92608	-0.8446304	8.366982	(0.0, 0.0, -0.1)	22.55262	22.55261	22.55262	-0.03740481	0.3823733	-0.03745939	0.3803972	-0.03745576	0.3805289	0.3823733	0	0.02	0	0	0.3803972	0
neptune	(20.92746000, -0.84473280, 8.36353500)	20.92746	-0.8447328	8.363535	(0.0, 0.0, -0.1)	22.55262	22.55261	22.55262	-0.03740481	0.3823733	-0.03746393	0.3802326	-0.0374603	0.3803642	0.3823733	0	0.02	0	0	0.3802326	0
neptune	(20.92910000, -0.84485570, 8.35939800)	20.9291	-0.8448557	8.359398	(0.0, 0.0, -0.1)	22.55262	22.55261	22.55262	-0.03740481	0.3823733	-0.03746939	0.3800349	-0.0374603	0.3803642	0.3823733	0	0.02	0	0	0.3800349	0
neptune	(20.93048000, -0.84495800, 8.35595000)	20.93048	-0.844958	8.35595	(0.0, 0.0, -0.1)	22.55262	22.55261	22.55262	-0.03740481	0.3823733	-0.03747392	0.3798702	-0.03747392	0.3798702	0.3823733	0	0.02	0	0	0.3798702	0
neptune	(20.93213000, -0.84508090, 8.35181300)	20.93213	-0.8450809	8.351813	(0.0, 0.0, -0.1)	22.55263	22.55261	22.55263	-0.03740481	0.3823733	-0.03747937	0.3796726	-0.03747937	0.3796726	0.3823733	0	0.02	0	0	0.3796726	0
