RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
saturn	(9.00903800, -0.31395130, -2.49440800)	9.009038	-0.3139513	-2.494408	(0.0, 0.0, 0.2)	9.353257	9.353255	9.353256	-0.03357643	-0.2707801	-0.03357298	-0.2702231	-0.03357574	-0.2706687	-0.03357436	-0.2704459	0.02	0	0	-0.2702231	0.08
saturn	(9.01070500, -0.31391240, -2.48838600)	9.010705	-0.3139124	-2.488386	(0.0, 0.0, 0.2)	9.353257	9.353255	9.353256	-0.03357643	-0.2707801	-0.03356883	-0.2695547	-0.03357574	-0.2706687	-0.03357436	-0.2704459	0.02	0	0	-0.2695547	0.2
saturn	(9.01209000, -0.31388000, -2.48336700)	9.01209	-0.31388	-2.483367	(0.0, 0.0, 0.2)	9.353257	9.353255	9.353257	-0.03357643	-0.2707801	-0.03356536	-0.2689976	-0.03357574	-0.2706687	-0.03357436	-0.2704459	0.02	0	0	-0.2689976	0.3
saturn	(9.01375000, -0.31384090, -2.47734300)	9.01375	-0.3138409	-2.477343	(0.0, 0.0, 0.2)	9.353257	9.353255	9.353256	-0.03357643	-0.2707801	-0.03356118	-0.2683292	-0.03357574	-0.2706687	-0.03357436	-0.2704459	0.02	0	0	-0.2683292	0.42
saturn	(9.01512900, -0.31380820, -2.47232200)	9.015129	-0.3138082	-2.472322	(0.0, 0.0, 0.2)	9.353257	9.353255	9.353257	-0.03357643	-0.2707801	-0.03355769	-0.2677722	-0.03357574	-0.2706687	-0.03357436	-0.2704459	0.02	0	0	-0.2677722	0.52
saturn	(9.01678200, -0.31376890, -2.46629600)	9.016782	-0.3137689	-2.466296	(0.0, 0.0, 0.2)	9.353258	9.353255	9.353258	-0.03357643	-0.2707801	-0.03355348	-0.2671038	-0.03355488	-0.2673266	-0.03357436	-0.2704459	0.02	0	0	-0.2671038	0.6399999
saturn	(9.01815700, -0.31373600, -2.46127300)	9.018157	-0.313736	-2.461273	(0.0, 0.0, 0.2)	9.353258	9.353255	9.353258	-0.03357643	-0.2707801	-0.03354996	-0.2665468	-0.03355488	-0.2673266	-0.03357436	-0.2704459	0.02	0	0	-0.2665468	0.7399998
saturn	(9.01980100, -0.31369640, -2.45524500)	9.019801	-0.3136964	-2.455245	(0.0, 0.0, 0.2)	9.353259	9.353255	9.353258	-0.03357643	-0.2707801	-0.03354573	-0.2658783	-0.03354926	-0.2664353	-0.03357436	-0.2704459	0.02	0	0	-0.2658783	0.8599997
saturn	(9.02116900, -0.31366330, -2.45022100)	9.021169	-0.3136633	-2.450221	(0.0, 0.0, 0.2)	9.353259	9.353255	9.353259	-0.03357643	-0.2707801	-0.03354219	-0.2653213	-0.03354926	-0.2664353	-0.03357436	-0.2704459	0.02	0	0	-0.2653213	0.9599996
saturn	(9.02280600, -0.31362350, -2.44419100)	9.022806	-0.3136235	-2.444191	(0.0, 0.0, 0.2)	9.35326	9.353255	9.35326	-0.03357643	-0.2707801	-0.03353793	-0.2646528	-0.03353793	-0.2646528	-0.03357436	-0.2704459	0.02	0	0	-0.2646528	1.08
