RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
venus	(-0.11635400, -0.00285107, -0.71063230)	-0.116354	-0.002851065	-0.7106323	(-0.6, 0.0, 0.1)	0.7200999	0.7200988	0.7200999	-0.005679947	-1.702099	-0.004246359	-1.727924	-0.004246359	-1.727924	-1.702099	0	0.02	0	0	-1.727924	0
venus	(-0.13831850, -0.00160930, -0.70669410)	-0.1383185	-0.001609295	-0.7066941	(-0.6, 0.0, 0.1)	0.720104	0.7200988	0.720104	-0.005679947	-1.702099	-0.002522411	-1.758914	-0.002522411	-1.758914	-1.702099	0	0.02	0	0	-1.758914	0
venus	(-0.15652180, -0.00057326, -0.70289460)	-0.1565218	-0.0005732576	-0.7028946	(-0.6, 0.0, 0.1)	0.7201098	0.7200988	0.7201098	-0.005679947	-1.702099	-0.001083887	-1.784738	-0.001083887	-1.784738	-1.702099	0	0.02	0	0	-1.784738	0
venus	(-0.17822710, 0.00067043, -0.69771740)	-0.1782271	0.0006704308	-0.6977174	(-0.6, 0.0, 0.1)	0.7201195	0.7200988	0.7201195	-0.005679947	-1.702099	0.0006431737	-1.815727	0.0006431737	-1.815727	-1.702099	0	0.02	0	0	-1.815727	0
venus	(-0.19618520, 0.00170640, -0.69289180)	-0.1961852	0.001706397	-0.6928918	(-0.6, 0.0, 0.1)	0.72013	0.7200988	0.72013	-0.005679947	-1.702099	0.002081949	-1.84155	0.002081949	-1.84155	-1.702099	0	0.02	0	0	-1.84155	0
venus	(-0.21756140, 0.00294800, -0.68649230)	-0.2175614	0.002947997	-0.6864923	(-0.6, 0.0, 0.1)	0.7201453	0.7200988	0.7201453	-0.005679947	-1.702099	0.003806501	-1.872536	0.003806501	-1.872536	-1.702099	0	0.02	0	0	-1.872536	0
venus	(-0.23521630, 0.00398055, -0.68065640)	-0.2352163	0.003980554	-0.6806564	(-0.6, 0.0, 0.1)	0.7201604	0.7200988	0.7201604	-0.005679947	-1.702099	0.005240845	-1.898357	0.005240845	-1.898357	-1.702099	0	0.02	0	0	-1.898357	0
venus	(-0.25619460, 0.00521606, -0.67305540)	-0.2561946	0.005216064	-0.6730554	(-0.6, 0.0, 0.1)	0.7201813	0.7200988	0.7201813	-0.005679947	-1.702099	0.006957279	-1.929342	0.006957279	-1.929342	-1.702099	0	0.02	0	0	-1.929342	0
venus	(-0.27348970, 0.00624189, -0.66622810)	-0.2734897	0.006241885	-0.6662281	(-0.6, 0.0, 0.1)	0.7202009	0.7200988	0.7202009	-0.005679947	-1.702099	0.008382526	-1.955162	0.008382526	-1.955162	-1.702099	0	0.02	0	0	-1.955162	0
venus	(-0.29400250, 0.00746733, -0.65745030)	-0.2940025	0.007467326	-0.6574503	(-0.6, 0.0, 0.1)	0.7202272	0.7200988	0.7202272	-0.005679947	-1.702099	0.01008526	-1.986144	0.01008526	-1.986144	-1.702099	0	0.02	0	0	-1.986144	0
